alpha urisk trisk pvalue models
3.0 0.1293 27.1245 3.15e-156 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
4.0 0.1005 18.1419 2.33e-72 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
5.0 0.0716 11.3166 1.66e-29 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
6.0 0.0428 5.9954 2.1e-09 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
7.0 0.0139 1.7497 0.0802 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
8.0 -0.015 -1.7064 0.088 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
9.0 -0.0438 -4.569 4.96e-06 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
10.0 -0.0727 -6.9756 3.25e-12 lgbm.lrank.1500.63.0.05.0.4.min96Trisk
0.0 0.2167 78.728 0.0 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
1.0 0.188 56.0866 0.0 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
2.0 0.1593 39.3782 1.02e-314 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
3.0 0.1306 27.2525 1.24e-157 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
4.0 0.1019 18.2905 1.69e-73 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
5.0 0.0732 11.4899 2.33e-30 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
6.0 0.0445 6.1933 6.13e-10 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
7.0 0.0158 1.9708 0.0488 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
8.0 -0.0129 -1.4644 0.143 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
9.0 -0.0416 -4.3081 1.66e-05 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
10.0 -0.0703 -6.6979 2.23e-11 lgbm.lrank.1500.63.0.05.0.4.min97Trisk
0.0 0.2162 78.5952 0.0 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
1.0 0.1871 55.8843 0.0 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
2.0 0.1579 39.1356 3.79e-311 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
3.0 0.1288 26.9671 1.66e-154 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
4.0 0.0996 17.9612 5.52e-71 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
5.0 0.0704 11.1185 1.52e-28 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
6.0 0.0413 5.7835 7.54e-09 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
7.0 0.0121 1.5265 0.127 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
8.0 -0.017 -1.9393 0.0525 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
9.0 -0.0462 -4.8102 1.53e-06 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
10.0 -0.0753 -7.224 5.43e-13 lgbm.lrank.1500.63.0.05.0.4.min98Trisk
0.0 0.2168 78.9177 0.0 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
1.0 0.1882 56.4083 0.0 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
2.0 0.1596 39.7273 6.95e-320 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
3.0 0.131 27.5741 3.42e-161 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
4.0 0.1024 18.5649 1.26e-75 lgbm.lrank.1500.63.0.05.0.4.min99Trisk
