alpha,topic,trisk,pvalue
0.0,23674,1.1478,0.251
0.0,23675,0.0392,0.969
0.0,23676,1.1744,0.24
0.0,23677,-0.2309,0.817
0.0,23679,0.5298,0.596
0.0,23680,-0.1827,0.855
0.0,23681,1.6541,0.0982
0.0,23682,1.805,0.0711
0.0,23683,-0.989,0.323
0.0,23684,0.609,0.543
0.0,23685,-0.4509,0.652
0.0,23686,0.2437,0.807
0.0,23687,0.0,1.0
0.0,23688,2.0314,0.0423
0.0,23689,-0.4816,0.63
0.0,23690,0.7283,0.466
0.0,23691,-0.39,0.697
0.0,23692,0.6133,0.54
0.0,23693,0.9503,0.342
0.0,23694,0.9093,0.363
0.0,23695,0.5348,0.593
0.0,23696,-0.0719,0.943
0.0,23697,1.6088,0.108
0.0,23698,0.4138,0.679
0.0,23699,-0.2451,0.806
0.0,23700,0.3701,0.711
0.0,23701,0.4826,0.629
0.0,23702,1.4328,0.152
0.0,23703,0.782,0.434
0.0,23704,-0.6749,0.5
0.0,23705,0.2887,0.773
0.0,23706,0.2101,0.834
0.0,23707,1.0774,0.281
0.0,23708,0.249,0.803
0.0,23710,-0.6749,0.5
0.0,23711,0.2822,0.778
0.0,23712,0.8851,0.376
0.0,23714,-1.3866,0.166
0.0,23715,1.001,0.317
0.0,23716,3.4933,0.0005
0.0,23717,0.2744,0.784
0.0,23718,0.8062,0.42
0.0,23719,0.6799,0.497
0.0,23720,1.211,0.226
0.0,23721,-1.0616,0.288
0.0,23722,0.8452,0.398
0.0,23723,-0.9988,0.318
0.0,23724,0.4917,0.623
0.0,23725,-0.618,0.537
0.0,23726,0.2496,0.803
0.0,23727,0.0,1.0
0.0,23728,2.1173,0.0343
0.0,23729,0.6873,0.492
0.0,23730,0.397,0.691
0.0,23731,0.0,1.0
0.0,23732,3.3812,0.0007
0.0,23733,1.775,0.0759
0.0,23734,0.0321,0.974
0.0,23735,-0.2251,0.822
0.0,23736,1.0228,0.306
0.0,23737,-0.109,0.913
0.0,23738,0.3307,0.741
0.0,23739,2.3771,0.0175
0.0,23740,0.1372,0.891
0.0,23741,1.9871,0.047
0.0,23742,0.1644,0.869
0.0,23743,-0.4352,0.663
0.0,23744,-1.1068,0.268
0.0,23745,-1.1431,0.253
0.0,23746,-1.3812,0.167
0.0,23747,-1.7345,0.0829
0.0,23748,-0.3862,0.699
0.0,23749,0.5452,0.586
0.0,23750,-0.0514,0.959
0.0,23751,1.8605,0.0629
0.0,23752,1.7944,0.0728
0.0,23753,0.0,1.0
0.0,23754,1.1167,0.264
0.0,23755,0.1698,0.865
0.0,23756,0.0773,0.938
0.0,23757,-0.6522,0.514
0.0,23758,0.1366,0.891
0.0,23759,-0.312,0.755
0.0,23760,-0.5851,0.559
0.0,23761,-0.0655,0.948
0.0,23762,-0.4691,0.639
0.0,23763,0.4732,0.636
0.0,23764,0.0,1.0
0.0,23765,-0.4138,0.679
0.0,23766,0.436,0.663
0.0,23767,0.642,0.521
0.0,23768,0.8236,0.41
0.0,23769,1.4328,0.152
0.0,23770,0.7296,0.466
0.0,23771,-0.0518,0.959
0.0,23772,1.6904,0.091
0.0,23773,1.382,0.167
0.0,23774,0.4296,0.668
0.0,23775,0.0596,0.952
0.0,23776,0.6738,0.5
0.0,23777,-0.0041,0.997
0.0,23778,0.2092,0.834
0.0,23779,1.5305,0.126
0.0,23780,1.2303,0.219
0.0,23781,0.908,0.364
0.0,23782,0.7383,0.46
0.0,23783,3.5149,0.0004
0.0,23784,-0.058,0.954
0.0,23785,-0.1494,0.881
0.0,23786,0.3453,0.73
0.0,23787,0.7915,0.429
0.0,23788,1.3361,0.182
